season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2025,Regular Season,2025-10-13,17:00,Charleston,CS Switchbacks,'5-0,"2,993",Jeremy Scheer,Patriots Point Soccer Complex,https://fbref.com/en/matches/1a18d280/Charleston-Battery-Colorado-Springs-Switchbacks-October-13-2025-USL-Championship,5,0,1a18d280
73_2025,Regular Season,2025-10-15,19:00,Orange County,San Antonio FC,'1-0,"4,340",Greg Dopka,Orange Country Great Park Championship S...,https://fbref.com/en/matches/f8c96d97/Orange-County-SC-San-Antonio-FC-October-15-2025-USL-Championship,1,0,f8c96d97
73_2025,Regular Season,2025-10-17,18:00,Lexington SC,Sac Republic,'2-2,"5,105",Thomas Snyder,Lexington SC Stadium,https://fbref.com/en/matches/b7029fd7/Lexington-SC-Sacramento-Republic-October-17-2025-USL-Championship,2,2,b7029fd7
73_2025,Regular Season,2025-10-18,18:00,Charleston,Detroit City,'1-1,"4,020",Muhammad Kaleia,Patriots Point Soccer Complex,https://fbref.com/en/matches/b9076d3b/Charleston-Battery-Detroit-City-October-18-2025-USL-Championship,1,1,b9076d3b
73_2025,Regular Season,2025-10-18,19:00,North Carolina,Rhode Island FC,'0-0,"3,586",Elijio Arreguin,First Horizon Stadium at WakeMed Soccer ...,https://fbref.com/en/matches/75b9ad18/North-Carolina-FC-Rhode-Island-FC-October-18-2025-USL-Championship,0,0,75b9ad18
73_2025,Regular Season,2025-10-18,19:30,TB Rowdies,Hartford Athletic,'3-2,"4,527",Elton Garcia,Al Lang Stadium,https://fbref.com/en/matches/850399b0/Tampa-Bay-Rowdies-Hartford-Athletic-October-18-2025-USL-Championship,3,2,850399b0
73_2025,Regular Season,2025-10-19,15:00,New Mexico Utd,Roots,'3-3,"8,756",John Griggs,Isotopes Park,https://fbref.com/en/matches/f9fd5ecb/New-Mexico-United-Oakland-Roots-October-19-2025-USL-Championship,3,3,f9fd5ecb
73_2025,Regular Season,2025-10-19,16:00,B'ham Legion,Miami FC,'2-3,"3,984",Robert Vincze,Protective Stadium,https://fbref.com/en/matches/df4f572c/Birmingham-Legion-Miami-FC-October-19-2025-USL-Championship,2,3,df4f572c
73_2025,Regular Season,2025-10-18,18:00,CS Switchbacks,LV Lights FC,'1-0,"7,364",Edson Carvajal,Weidner Field,https://fbref.com/en/matches/16f18613/Colorado-Springs-Switchbacks-Las-Vegas-Lights-FC-October-18-2025-USL-Championship,1,0,16f18613
73_2025,Regular Season,2025-10-18,19:00,Phx Rising,San Antonio FC,'1-0,"7,563",Brad Jensen,Phoenix Rising Soccer Stadium,https://fbref.com/en/matches/c85024a5/Phoenix-Rising-San-Antonio-FC-October-18-2025-USL-Championship,1,0,c85024a5
73_2025,Regular Season,2025-10-18,19:00,Orange County,Louisville City,'0-0,"5,000",Mathew Corrigan,Orange Country Great Park Championship S...,https://fbref.com/en/matches/b8072f31/Orange-County-SC-Louisville-City-October-18-2025-USL-Championship,0,0,b8072f31
73_2025,Regular Season,2025-10-18,19:00,Monterey Bay,Pittsburgh,'0-3,"2,707",Gerald Flores,Cardinale Stadium,https://fbref.com/en/matches/2ff0aeb5/Monterey-Bay-Pittsburgh-Riverhounds-October-18-2025-USL-Championship,0,3,2ff0aeb5
73_2025,Regular Season,2025-10-18,20:00,El Paso,FC Tulsa,'1-1,"5,657",Natalie Simon,Southwest University Park,https://fbref.com/en/matches/78f2d76b/El-Paso-Locomotive-FC-Tulsa-October-18-2025-USL-Championship,1,1,78f2d76b
73_2025,Regular Season,2025-10-18,21:05,Indy Eleven,Loudoun United,'2-1,"10,163",Brandon Stevis,Michael A. Carroll Stadium,https://fbref.com/en/matches/7dc4c0b1/Indy-Eleven-Loudoun-United-October-18-2025-USL-Championship,2,1,7dc4c0b1
73_2025,Regular Season,2025-10-22,19:00,Sac Republic,Charleston,'1-0,"8,779",Cristian Campo Hernández,Heart Health Park,https://fbref.com/en/matches/30d8068f/Sacramento-Republic-Charleston-Battery-October-22-2025-USL-Championship,1,0,30d8068f
73_2025,Regular Season,2025-10-25,17:00,Charleston,B'ham Legion,'2-1,"4,737",Drew Klemp,Patriots Point Soccer Complex,https://fbref.com/en/matches/b0040fed/Charleston-Battery-Birmingham-Legion-October-25-2025-USL-Championship,2,1,b0040fed
73_2025,Regular Season,2025-10-25,17:00,Loudoun United,North Carolina,'0-1,"4,204",Brad Jensen,Segra Field,https://fbref.com/en/matches/c53056cc/Loudoun-United-North-Carolina-FC-October-25-2025-USL-Championship,0,1,c53056cc
73_2025,Regular Season,2025-10-25,19:00,Pittsburgh,Phx Rising,'0-0,"5,067",Mathew Corrigan,Highmark Stadium,https://fbref.com/en/matches/17655c2f/Pittsburgh-Riverhounds-Phoenix-Rising-October-25-2025-USL-Championship,0,0,17655c2f
